Sl.no,ObservationDate,District,State/Region,Last update,Confirmed,Recovered,Deaths
1371,7/5/2020,Ramanathapuram,Tamil Nadu,7/5/2020 10:45,11,3,0
1372,7/5/2020,Sivagangai,Tamil Nadu,7/5/2020 10:45,11,3,5
1373,7/5/2020,Ranipet,Tamil Nadu,7/5/2020 10:45,34,16,5
1374,30/4/2020,Salem,Tamil Nadu,30/4/2020 10:45,23,11,0
1375,30/4/2020,Thanjavur,Tamil Nadu,30/4/2020 10:45,38,20,5
1376,30/4/2020,Tenkasi,Tamil Nadu,30/4/2020 10:45,26,13,0
1377,30/4/2020,Theni,Tamil Nadu,30/4/2020 10:45,42,20,5
1378,28/4/2020,Tiruvannamalai,Tamil Nadu,28/4/2020 10:45,12,5,5
1379,28/4/2020,Thiruvallur,Tamil Nadu,28/4/2020 10:45,42,21,5
1380,28/4/2020,Thiruvarur,Tamil Nadu,28/4/2020 10:45,27,12,0
1381,27/4/2020,Thoothukudi,Tamil Nadu,27/4/2020 10:45,27,11,5
1382,27/4/2020,Tirunelveli,Tamil Nadu,27/4/2020 10:45,49,26,4
1383,27/4/2020,Tirupattur,Tamil Nadu,27/4/2020 10:45,17,7,0
1384,27/4/2020,Tiruppur,Tamil Nadu,27/4/2020 10:45,80,48,5
1385,27/4/2020,Tiruchirapalli,Tamil Nadu,27/4/2020 10:45,45,23,0
1386,12/4/2020,Vellore,Tamil Nadu,12/4/2020 10:45,21,9,0
1387,11/4/2020,Villupuram,Tamil Nadu,11/4/2020 10:45,34,17,3
1388,6/4/2020,Virudhunagar,Tamil Nadu,6/4/2020 10:45,17,10,5
1389,1/4/2020,Udagamandalam,Tamil Nadu,1/4/2020 10:45,9,5,0
1390,9/5/2020,Ariyalur,Tamil Nadu,9/5/2020 10:45,4,2,1
1391,9/5/2020,Chengalpattu,Tamil Nadu,9/5/2020 10:45,53,26,5
1392,8/5/2020,Cuddalore,Tamil Nadu,8/5/2020 10:45,26,13,0
1393,7/5/2020,Dindigul,Tamil Nadu,7/5/2020 10:45,76,37,0
1394,9/5/2020,Chennai,Tamil Nadu,9/5/2020 10:45,275,66,19
1395,7/5/2020,Coimbatore,Tamil Nadu,7/5/2020 10:45,133,57,10
1396,9/5/2020,Dindugal,Tamil Nadu,9/5/2020 10:45,42,21,0
1397,8/5/2020,Erode,Tamil Nadu,8/5/2020 10:45,68,35,0
1398,8/5/2020,Kancheepuram,Tamil Nadu,8/5/2020 10:45,9,3,0
1399,5/5/2020,Kalllakurichi,Tamil Nadu,5/5/2020 10:45,3,0,0
1400,7/5/2020,Kanyakumari,Tamil Nadu,7/5/2020 10:45,5,0,0
1401,5/5/2020,Karur,Tamil Nadu,5/5/2020 10:45,40,21,0
1402,5/5/2020,Madurai,Tamil Nadu,5/5/2020 10:45,46,23,0
1403,5/5/2020,Nagapattinam,Tamil Nadu,5/5/2020 10:45,44,22,5
1404,5/5/2020,Nagerkoil,Tamil Nadu,5/5/2020 10:45,16,7,5
1405,5/5/2020,Namakkal,Tamil Nadu,5/5/2020 10:45,49,23,0
1406,5/5/2020,Perambalur,Tamil Nadu,5/5/2020 10:45,5,0,5
1407,8/5/2020,Pudukottai,Tamil Nadu,8/5/2020 10:45,1,0,0
1408,8/5/2020,Ramanathapuram,Tamil Nadu,8/5/2020 10:45,11,3,0
1409,8/5/2020,Sivagangai,Tamil Nadu,8/5/2020 10:45,12,3,5
1410,8/5/2020,Ranipet,Tamil Nadu,8/5/2020 10:45,35,18,5
1411,1/5/2020,Salem,Tamil Nadu,1/5/2020 10:45,24,12,0
1412,1/5/2020,Thanjavur,Tamil Nadu,1/5/2020 10:45,40,21,5
1413,1/5/2020,Tenkasi,Tamil Nadu,1/5/2020 10:45,26,13,0
1414,1/5/2020,Theni,Tamil Nadu,1/5/2020 10:45,43,21,5
1415,29/4/2020,Tiruvannamalai,Tamil Nadu,29/4/2020 10:45,12,5,5
1416,29/4/2020,Thiruvallur,Tamil Nadu,29/4/2020 10:45,43,24,5
1417,29/4/2020,Thiruvarur,Tamil Nadu,29/4/2020 10:45,27,12,0
1418,28/4/2020,Thoothukudi,Tamil Nadu,28/4/2020 10:45,27,12,5
1419,28/4/2020,Tirunelveli,Tamil Nadu,28/4/2020 10:45,58,29,4
1420,28/4/2020,Tirupattur,Tamil Nadu,28/4/2020 10:45,17,7,0
1421,28/4/2020,Tiruppur,Tamil Nadu,28/4/2020 10:45,95,50,5
